Tidal_Volume,Respiratory_Rate,FiO2,PEEP,PIP,Time,label,parameter
555,15,50,8,24,3,Not malfunction,parameters are working correctly
488,18,48,7,23,2,Not malfunction,parameters are working correctly
416,17,59,6,24,5,Not malfunction,parameters are working correctly
522,14,54,9,28,1,Not malfunction,parameters are working correctly
597,14,55,9,21,1,Not malfunction,parameters are working correctly
517,9,49,7,23,10,Malfunction,Respiratory_Rate
463,15,49,10,25,4,Not malfunction,parameters are working correctly
401,18,50,6,28,3,Not malfunction,parameters are working correctly
684,19,49,8,29,2,Not malfunction,parameters are working correctly
528,18,54,8,30,4,Not malfunction,parameters are working correctly
446,14,53,6,22,5,Not malfunction,parameters are working correctly
571,13,58,6,24,4,Not malfunction,parameters are working correctly
948,11,43,6,26,6,Malfunction,Tidal_Volume
551,16,30,7,22,6,Malfunction,FiO2
483,20,45,10,28,3,Not malfunction,parameters are working correctly
579,19,59,7,29,5,Not malfunction,parameters are working correctly
564,14,44,6,24,3,Not malfunction,parameters are working correctly
661,17,45,8,21,5,Not malfunction,parameters are working correctly
689,17,22,7,26,9,Malfunction,FiO2
590,13,44,5,20,2,Not malfunction,parameters are working correctly
597,10,55,3,23,6,Malfunction,Respiratory_Rate
836,18,46,8,26,10,Malfunction,Tidal_Volume
518,15,45,6,23,2,Not malfunction,parameters are working correctly
926,15,53,7,23,9,Malfunction,Tidal_Volume
585,18,41,6,26,4,Not malfunction,parameters are working correctly
551,18,56,6,28,5,Not malfunction,parameters are working correctly
671,12,59,5,29,3,Not malfunction,parameters are working correctly
474,16,21,9,23,9,Malfunction,FiO2
405,14,53,8,23,1,Not malfunction,parameters are working correctly
647,19,54,7,20,2,Not malfunction,parameters are working correctly
640,20,54,6,25,2,Not malfunction,parameters are working correctly
819,14,53,6,30,6,Malfunction,Tidal_Volume
671,15,21,6,25,6,Malfunction,FiO2
480,19,49,6,22,4,Not malfunction,parameters are working correctly
528,18,45,8,25,3,Not malfunction,parameters are working correctly
470,15,46,6,30,4,Not malfunction,parameters are working correctly
628,19,44,8,37,7,Malfunction,PIP
603,13,20,6,25,8,Malfunction,FiO2
471,14,50,7,24,4,Not malfunction,parameters are working correctly
548,18,54,9,39,9,Malfunction,PIP
559,20,54,9,37,6,Malfunction,PIP
563,15,45,8,38,6,Malfunction,PIP
338,18,29,7,28,9,Malfunction,FiO2
615,16,48,7,30,2,Not malfunction,parameters are working correctly
603,14,55,5,29,5,Not malfunction,parameters are working correctly
602,13,43,10,20,3,Not malfunction,parameters are working correctly
465,18,41,5,29,4,Not malfunction,parameters are working correctly
728,14,30,6,24,8,Malfunction,FiO2
698,14,58,9,20,3,Not malfunction,parameters are working correctly
518,5,49,8,25,8,Malfunction,Respiratory_Rate
1000,15,54,7,23,9,Malfunction,Tidal_Volume
479,17,59,13,24,10,Malfunction,PEEP
826,15,54,5,24,9,Malfunction,Tidal_Volume
958,16,46,7,25,8,Malfunction,Tidal_Volume
582,16,51,14,27,6,Malfunction,PEEP
557,17,55,7,27,4,Not malfunction,parameters are working correctly
990,14,50,6,22,7,Malfunction,Tidal_Volume
404,12,44,5,22,2,Not malfunction,parameters are working correctly
442,12,44,10,28,3,Not malfunction,parameters are working correctly
476,6,53,6,18,9,Malfunction,Respiratory_Rate
626,18,57,14,27,9,Malfunction,PEEP
400,14,55,7,22,2,Not malfunction,parameters are working correctly
419,16,48,9,28,4,Not malfunction,parameters are working correctly
659,20,45,9,26,1,Not malfunction,parameters are working correctly
666,20,55,6,20,1,Not malfunction,parameters are working correctly
681,19,42,10,25,5,Not malfunction,parameters are working correctly
679,20,42,10,29,3,Not malfunction,parameters are working correctly
671,17,53,6,28,1,Not malfunction,parameters are working correctly
554,17,40,5,22,4,Not malfunction,parameters are working correctly
525,6,45,8,24,8,Malfunction,Respiratory_Rate
823,14,49,7,22,7,Malfunction,Tidal_Volume
478,13,47,7,29,1,Not malfunction,parameters are working correctly
957,14,52,10,21,7,Malfunction,Tidal_Volume
693,18,42,6,25,4,Not malfunction,parameters are working correctly
652,7,52,5,32,9,Malfunction,Respiratory_Rate
402,15,41,10,29,2,Not malfunction,parameters are working correctly
621,17,41,10,27,1,Not malfunction,parameters are working correctly
566,16,49,15,27,6,Malfunction,PEEP
598,12,41,9,21,1,Not malfunction,parameters are working correctly
591,12,53,15,24,10,Malfunction,PEEP
612,14,60,7,21,1,Not malfunction,parameters are working correctly
622,13,60,5,24,5,Not malfunction,parameters are working correctly
576,16,48,12,27,9,Malfunction,PEEP
834,13,51,6,25,7,Malfunction,Tidal_Volume
401,17,48,12,29,9,Malfunction,PEEP
444,13,50,8,29,5,Not malfunction,parameters are working correctly
600,12,44,5,27,3,Not malfunction,parameters are working correctly
483,15,50,6,35,7,Malfunction,PIP
866,14,57,5,29,9,Malfunction,Tidal_Volume
525,16,55,7,36,10,Malfunction,PIP
478,13,25,8,22,10,Malfunction,FiO2
487,18,22,6,23,8,Malfunction,FiO2
406,14,55,5,30,2,Not malfunction,parameters are working correctly
513,15,51,10,29,3,Not malfunction,parameters are working correctly
595,13,53,13,25,8,Malfunction,PEEP
479,18,47,5,27,1,Not malfunction,parameters are working correctly
454,15,56,9,29,4,Not malfunction,parameters are working correctly
497,18,49,7,36,10,Malfunction,PIP
465,15,20,9,26,6,Malfunction,FiO2
675,15,46,15,20,10,Malfunction,PEEP
520,18,49,10,30,4,Not malfunction,parameters are working correctly
549,20,56,6,38,10,Malfunction,PIP
638,15,49,11,39,9,Malfunction,PIP
467,12,51,5,29,1,Not malfunction,parameters are working correctly
932,18,49,7,27,9,Malfunction,Tidal_Volume
827,15,50,8,26,8,Malfunction,Tidal_Volume
586,12,50,5,27,1,Not malfunction,parameters are working correctly
506,16,41,8,30,4,Not malfunction,parameters are working correctly
562,9,46,9,20,6,Malfunction,Respiratory_Rate
654,16,51,9,40,9,Malfunction,PIP
549,10,53,6,25,10,Malfunction,Respiratory_Rate
427,18,46,5,21,4,Not malfunction,parameters are working correctly
544,9,49,7,23,6,Malfunction,Respiratory_Rate
511,13,57,7,39,6,Malfunction,PIP
468,13,46,7,23,3,Not malfunction,parameters are working correctly
513,19,52,6,24,4,Not malfunction,parameters are working correctly
656,18,55,7,30,5,Not malfunction,parameters are working correctly
881,16,55,5,19,8,Malfunction,Tidal_Volume
659,14,55,9,27,5,Not malfunction,parameters are working correctly
594,17,57,5,21,4,Not malfunction,parameters are working correctly
500,18,49,5,25,4,Not malfunction,parameters are working correctly
543,19,50,6,30,1,Not malfunction,parameters are working correctly
689,17,40,5,23,1,Not malfunction,parameters are working correctly
399,11,50,7,25,10,Malfunction,Respiratory_Rate
474,18,59,10,23,4,Not malfunction,parameters are working correctly
531,17,50,15,28,6,Malfunction,PEEP
614,18,57,8,26,2,Not malfunction,parameters are working correctly
508,13,51,5,36,10,Malfunction,PIP
556,15,29,8,23,9,Malfunction,FiO2
463,14,23,8,26,6,Malfunction,FiO2
591,16,42,6,20,2,Not malfunction,parameters are working correctly
453,15,47,8,20,4,Not malfunction,parameters are working correctly
568,15,37,7,39,10,Malfunction,PIP
699,16,57,8,27,5,Not malfunction,parameters are working correctly
566,16,47,7,37,10,Malfunction,PIP
510,20,40,5,25,2,Not malfunction,parameters are working correctly
816,15,54,9,23,6,Malfunction,Tidal_Volume
599,19,56,7,37,8,Malfunction,PIP
688,17,58,8,27,5,Not malfunction,parameters are working correctly
482,14,45,15,27,7,Malfunction,PEEP
401,19,40,6,29,2,Not malfunction,parameters are working correctly
679,13,44,8,23,2,Not malfunction,parameters are working correctly
476,16,24,7,25,8,Malfunction,FiO2
605,13,46,7,20,3,Not malfunction,parameters are working correctly
634,13,56,7,24,3,Not malfunction,parameters are working correctly
567,15,43,10,24,5,Not malfunction,parameters are working correctly
730,8,47,8,23,6,Malfunction,Respiratory_Rate
693,15,48,9,20,4,Not malfunction,parameters are working correctly
522,20,49,9,24,5,Not malfunction,parameters are working correctly
426,12,25,9,23,7,Malfunction,FiO2
532,16,53,9,26,3,Not malfunction,parameters are working correctly
599,14,41,5,23,3,Not malfunction,parameters are working correctly
514,9,46,5,23,8,Malfunction,Respiratory_Rate
451,13,26,5,24,9,Malfunction,FiO2
627,18,48,14,24,8,Malfunction,PEEP
524,15,44,13,26,9,Malfunction,PEEP
494,19,60,9,28,1,Not malfunction,parameters are working correctly
504,18,51,5,23,1,Not malfunction,parameters are working correctly
700,12,46,10,26,4,Not malfunction,parameters are working correctly
568,12,27,5,24,6,Malfunction,FiO2
498,18,46,8,22,1,Not malfunction,parameters are working correctly
545,17,43,5,26,3,Not malfunction,parameters are working correctly
553,14,52,8,39,7,Malfunction,PIP
538,5,52,6,20,9,Malfunction,Respiratory_Rate
553,17,38,12,24,6,Malfunction,PEEP
448,17,40,7,29,5,Not malfunction,parameters are working correctly
505,20,53,8,23,2,Not malfunction,parameters are working correctly
352,15,22,8,21,6,Malfunction,FiO2
689,17,52,8,30,4,Not malfunction,parameters are working correctly
409,18,49,10,23,3,Not malfunction,parameters are working correctly
667,19,53,5,23,4,Not malfunction,parameters are working correctly
698,16,43,10,24,3,Not malfunction,parameters are working correctly
421,13,52,10,27,3,Not malfunction,parameters are working correctly
505,16,48,14,27,10,Malfunction,PEEP
532,8,53,6,26,7,Malfunction,Respiratory_Rate
414,18,43,10,22,4,Not malfunction,parameters are working correctly
496,17,43,12,25,9,Malfunction,PEEP
530,13,52,13,30,6,Malfunction,PEEP
905,15,56,8,27,8,Malfunction,Tidal_Volume
601,17,29,8,22,6,Malfunction,FiO2
560,12,52,6,35,8,Malfunction,PIP
635,6,49,6,28,8,Malfunction,Respiratory_Rate
678,12,56,7,28,3,Not malfunction,parameters are working correctly
960,18,52,9,24,8,Malfunction,Tidal_Volume
621,15,26,7,25,7,Malfunction,FiO2
487,13,21,7,26,6,Malfunction,FiO2
897,16,46,6,21,10,Malfunction,Tidal_Volume
458,17,48,9,30,1,Not malfunction,parameters are working correctly
658,14,60,8,39,9,Malfunction,PIP
746,14,30,9,20,7,Malfunction,FiO2
668,15,53,9,24,2,Not malfunction,parameters are working correctly
680,19,50,8,24,4,Not malfunction,parameters are working correctly
512,15,52,12,19,8,Malfunction,PEEP
400,14,48,6,25,2,Not malfunction,parameters are working correctly
476,18,48,10,28,3,Not malfunction,parameters are working correctly
514,14,49,7,28,1,Not malfunction,parameters are working correctly
627,17,60,8,23,5,Not malfunction,parameters are working correctly
515,11,46,7,25,8,Malfunction,Respiratory_Rate
972,13,61,7,26,10,Malfunction,Tidal_Volume
830,14,52,6,28,6,Malfunction,Tidal_Volume
555,15,60,8,24,1,Not malfunction,parameters are working correctly
492,17,57,10,28,3,Not malfunction,parameters are working correctly
398,8,56,6,25,7,Malfunction,Respiratory_Rate
678,13,55,7,29,2,Not malfunction,parameters are working correctly
960,17,49,7,28,6,Malfunction,Tidal_Volume
643,15,51,8,37,8,Malfunction,PIP
680,16,22,7,25,8,Malfunction,FiO2
628,14,54,6,27,1,Not malfunction,parameters are working correctly
537,5,53,8,24,10,Malfunction,Respiratory_Rate
650,16,53,8,24,1,Not malfunction,parameters are working correctly
695,12,45,8,24,2,Not malfunction,parameters are working correctly
589,13,53,7,30,2,Not malfunction,parameters are working correctly
660,10,54,7,23,10,Malfunction,Respiratory_Rate
571,16,58,7,23,2,Not malfunction,parameters are working correctly
653,12,43,10,24,1,Not malfunction,parameters are working correctly
439,16,58,9,20,2,Not malfunction,parameters are working correctly
489,17,59,6,27,5,Not malfunction,parameters are working correctly
962,15,49,8,25,7,Malfunction,Tidal_Volume
496,16,50,10,28,4,Not malfunction,parameters are working correctly
509,18,53,5,20,1,Not malfunction,parameters are working correctly
556,16,47,14,26,9,Malfunction,PEEP
646,12,42,5,29,4,Not malfunction,parameters are working correctly
427,19,53,8,21,4,Not malfunction,parameters are working correctly
631,16,53,8,21,1,Not malfunction,parameters are working correctly
507,5,44,8,22,7,Malfunction,Respiratory_Rate
403,12,47,6,22,1,Not malfunction,parameters are working correctly
606,14,44,6,25,3,Not malfunction,parameters are working correctly
422,14,42,6,26,4,Not malfunction,parameters are working correctly
510,15,48,8,35,9,Malfunction,PIP
673,20,56,10,23,1,Not malfunction,parameters are working correctly
607,10,51,8,22,7,Malfunction,Respiratory_Rate
679,14,40,10,20,4,Not malfunction,parameters are working correctly
611,10,50,6,26,7,Malfunction,Respiratory_Rate
339,17,26,8,25,10,Malfunction,FiO2
586,17,22,6,20,6,Malfunction,FiO2
534,20,55,9,24,2,Not malfunction,parameters are working correctly
521,18,30,6,28,7,Malfunction,FiO2
433,10,43,4,27,7,Malfunction,Respiratory_Rate
390,15,55,7,37,10,Malfunction,PIP
474,17,60,7,20,1,Not malfunction,parameters are working correctly
604,6,57,9,25,9,Malfunction,Respiratory_Rate
925,16,50,5,22,6,Malfunction,Tidal_Volume
397,14,43,8,35,6,Malfunction,PIP
849,16,51,8,26,10,Malfunction,Tidal_Volume
580,16,56,5,30,4,Not malfunction,parameters are working correctly
507,18,54,10,26,1,Not malfunction,parameters are working correctly
854,13,46,6,24,10,Malfunction,Tidal_Volume
449,17,59,10,26,2,Not malfunction,parameters are working correctly
940,15,58,4,24,8,Malfunction,Tidal_Volume
673,15,57,7,29,4,Not malfunction,parameters are working correctly
608,17,58,14,24,10,Malfunction,PEEP
675,19,45,7,24,2,Not malfunction,parameters are working correctly
423,7,39,8,30,8,Malfunction,Respiratory_Rate
504,13,59,6,23,1,Not malfunction,parameters are working correctly
605,11,49,6,28,6,Malfunction,Respiratory_Rate
537,12,44,10,20,5,Not malfunction,parameters are working correctly
488,14,40,10,24,5,Not malfunction,parameters are working correctly
547,18,55,9,22,1,Not malfunction,parameters are working correctly
498,15,50,6,27,3,Not malfunction,parameters are working correctly
418,18,55,5,27,3,Not malfunction,parameters are working correctly
613,6,48,5,24,10,Malfunction,Respiratory_Rate
539,12,29,8,25,9,Malfunction,FiO2
538,17,45,6,22,1,Not malfunction,parameters are working correctly
514,19,48,10,20,5,Not malfunction,parameters are working correctly
988,13,54,8,18,9,Malfunction,Tidal_Volume
629,16,59,10,20,2,Not malfunction,parameters are working correctly
573,10,47,5,23,8,Malfunction,Respiratory_Rate
980,17,52,9,26,10,Malfunction,Tidal_Volume
491,15,41,9,20,2,Not malfunction,parameters are working correctly
431,20,52,7,40,7,Malfunction,PIP
538,19,52,12,20,6,Malfunction,PEEP
570,16,59,6,21,4,Not malfunction,parameters are working correctly
611,15,50,7,38,8,Malfunction,PIP
617,12,49,9,37,10,Malfunction,PIP
472,16,56,7,20,4,Not malfunction,parameters are working correctly
411,12,53,7,23,1,Not malfunction,parameters are working correctly
423,14,50,7,25,4,Not malfunction,parameters are working correctly
589,8,47,8,27,6,Malfunction,Respiratory_Rate
486,18,43,6,22,3,Not malfunction,parameters are working correctly
459,16,54,6,20,3,Not malfunction,parameters are working correctly
636,17,48,6,30,2,Not malfunction,parameters are working correctly
444,15,20,6,25,7,Malfunction,FiO2
574,17,51,6,35,10,Malfunction,PIP
408,14,50,9,39,7,Malfunction,PIP
572,12,56,6,24,2,Not malfunction,parameters are working correctly
482,14,51,10,21,2,Not malfunction,parameters are working correctly
465,15,53,7,28,2,Not malfunction,parameters are working correctly
553,14,54,5,20,5,Not malfunction,parameters are working correctly
677,15,59,6,23,2,Not malfunction,parameters are working correctly
727,18,59,6,39,9,Malfunction,PIP
476,17,60,5,26,5,Not malfunction,parameters are working correctly
575,16,50,8,27,1,Not malfunction,parameters are working correctly
619,16,59,7,29,4,Not malfunction,parameters are working correctly
472,12,53,10,27,4,Not malfunction,parameters are working correctly
678,9,58,8,18,9,Malfunction,Respiratory_Rate
456,15,56,9,23,1,Not malfunction,parameters are working correctly
986,19,53,9,26,10,Malfunction,Tidal_Volume
415,13,55,5,23,4,Not malfunction,parameters are working correctly
926,15,49,9,25,6,Malfunction,Tidal_Volume
976,13,47,6,23,6,Malfunction,Tidal_Volume
509,19,52,14,23,6,Malfunction,PEEP
505,13,60,6,23,5,Not malfunction,parameters are working correctly
427,15,44,7,26,2,Not malfunction,parameters are working correctly
530,16,27,6,25,9,Malfunction,FiO2
415,19,43,5,27,2,Not malfunction,parameters are working correctly
629,14,59,6,29,3,Not malfunction,parameters are working correctly
553,19,51,10,30,3,Not malfunction,parameters are working correctly
416,12,55,10,30,5,Not malfunction,parameters are working correctly
462,14,43,7,28,1,Not malfunction,parameters are working correctly
454,12,46,5,22,5,Not malfunction,parameters are working correctly
492,8,57,7,26,8,Malfunction,Respiratory_Rate
444,20,44,10,30,1,Not malfunction,parameters are working correctly
520,18,49,8,20,1,Not malfunction,parameters are working correctly
629,15,43,8,39,10,Malfunction,PIP
429,18,49,9,20,2,Not malfunction,parameters are working correctly
441,15,50,9,21,5,Not malfunction,parameters are working correctly
570,5,50,7,22,10,Malfunction,Respiratory_Rate
445,14,55,10,25,4,Not malfunction,parameters are working correctly
437,17,44,9,27,5,Not malfunction,parameters are working correctly
574,10,51,7,26,10,Malfunction,Respiratory_Rate
980,17,45,6,26,10,Malfunction,Tidal_Volume
415,13,40,10,22,4,Not malfunction,parameters are working correctly
991,17,43,8,18,9,Malfunction,Tidal_Volume
928,15,48,9,25,9,Malfunction,Tidal_Volume
536,11,56,8,24,10,Malfunction,Respiratory_Rate
581,6,46,7,22,10,Malfunction,Respiratory_Rate
548,18,45,8,28,2,Not malfunction,parameters are working correctly
590,18,50,13,24,10,Malfunction,PEEP
551,14,55,15,28,8,Malfunction,PEEP
459,14,45,8,26,1,Not malfunction,parameters are working correctly
458,16,48,9,23,2,Not malfunction,parameters are working correctly
506,15,55,12,22,7,Malfunction,PEEP
498,18,51,15,26,8,Malfunction,PEEP
480,17,41,7,25,4,Not malfunction,parameters are working correctly
611,16,30,7,22,10,Malfunction,FiO2
593,16,24,9,26,7,Malfunction,FiO2
566,15,54,8,22,1,Not malfunction,parameters are working correctly
610,19,47,9,35,6,Malfunction,PIP
466,16,46,6,22,5,Not malfunction,parameters are working correctly
411,15,40,5,27,5,Not malfunction,parameters are working correctly
871,16,56,8,20,6,Malfunction,Tidal_Volume
551,17,26,9,19,6,Malfunction,FiO2
541,15,49,10,22,4,Not malfunction,parameters are working correctly
922,18,45,7,25,9,Malfunction,Tidal_Volume
511,18,48,12,18,7,Malfunction,PEEP
643,19,49,9,26,5,Not malfunction,parameters are working correctly
553,13,60,7,28,5,Not malfunction,parameters are working correctly
603,9,42,6,27,10,Malfunction,Respiratory_Rate
504,13,54,14,28,10,Malfunction,PEEP
696,16,47,9,28,1,Not malfunction,parameters are working correctly
476,12,60,7,29,1,Not malfunction,parameters are working correctly
551,20,43,10,26,4,Not malfunction,parameters are working correctly
647,8,48,10,28,9,Malfunction,Respiratory_Rate
481,12,59,7,27,3,Not malfunction,parameters are working correctly
428,15,59,10,24,4,Not malfunction,parameters are working correctly
428,14,54,5,26,4,Not malfunction,parameters are working correctly
433,20,52,6,27,3,Not malfunction,parameters are working correctly
449,18,59,9,30,4,Not malfunction,parameters are working correctly
626,14,48,6,20,5,Not malfunction,parameters are working correctly
433,20,44,9,30,5,Not malfunction,parameters are working correctly
968,16,47,9,25,6,Malfunction,Tidal_Volume
664,17,55,7,27,5,Not malfunction,parameters are working correctly
426,17,41,7,21,4,Not malfunction,parameters are working correctly
627,15,46,15,24,9,Malfunction,PEEP
466,8,57,6,22,7,Malfunction,Respiratory_Rate
558,17,57,5,20,4,Not malfunction,parameters are working correctly
478,12,52,8,25,4,Not malfunction,parameters are working correctly
620,17,56,7,21,2,Not malfunction,parameters are working correctly
666,17,52,6,21,4,Not malfunction,parameters are working correctly
880,19,53,5,28,10,Malfunction,Tidal_Volume
576,11,57,8,35,6,Malfunction,PIP
611,15,25,7,28,9,Malfunction,FiO2
495,16,49,11,36,7,Malfunction,PIP
496,19,52,9,26,5,Not malfunction,parameters are working correctly
522,15,20,7,26,6,Malfunction,FiO2
855,16,50,7,21,8,Malfunction,Tidal_Volume
500,18,57,7,25,3,Not malfunction,parameters are working correctly
521,15,56,8,20,2,Not malfunction,parameters are working correctly
588,16,43,7,37,8,Malfunction,PIP
445,15,40,6,25,3,Not malfunction,parameters are working correctly
496,18,47,10,29,5,Not malfunction,parameters are working correctly
570,14,53,9,24,4,Not malfunction,parameters are working correctly
466,20,42,5,30,1,Not malfunction,parameters are working correctly
538,14,47,14,32,10,Malfunction,PEEP
579,15,57,8,35,6,Malfunction,PIP
663,20,57,10,21,4,Not malfunction,parameters are working correctly
467,18,52,7,20,1,Not malfunction,parameters are working correctly
575,14,44,6,25,5,Not malfunction,parameters are working correctly
578,5,55,9,22,7,Malfunction,Respiratory_Rate
489,15,26,8,22,6,Malfunction,FiO2
960,18,47,9,29,7,Malfunction,Tidal_Volume
489,15,58,15,30,6,Malfunction,PEEP
615,20,48,6,26,3,Not malfunction,parameters are working correctly
410,14,49,7,21,1,Not malfunction,parameters are working correctly
507,16,46,12,25,10,Malfunction,PEEP
507,19,54,6,30,1,Not malfunction,parameters are working correctly
520,15,20,6,24,8,Malfunction,FiO2
470,18,52,7,35,9,Malfunction,PIP
892,16,52,6,27,9,Malfunction,Tidal_Volume
474,13,55,9,29,1,Not malfunction,parameters are working correctly
706,15,45,13,23,6,Malfunction,PEEP
687,20,45,9,30,5,Not malfunction,parameters are working correctly
495,16,53,9,28,2,Not malfunction,parameters are working correctly
592,20,39,6,35,8,Malfunction,PIP
586,16,49,10,24,4,Not malfunction,parameters are working correctly
433,13,60,6,27,2,Not malfunction,parameters are working correctly
936,17,54,8,20,9,Malfunction,Tidal_Volume
533,14,25,9,22,7,Malfunction,FiO2
468,12,44,7,25,3,Not malfunction,parameters are working correctly
568,19,28,6,24,8,Malfunction,FiO2
555,20,54,10,29,4,Not malfunction,parameters are working correctly
424,19,53,14,23,8,Malfunction,PEEP
580,12,60,6,27,3,Not malfunction,parameters are working correctly
568,14,60,6,24,3,Not malfunction,parameters are working correctly
624,16,53,9,38,10,Malfunction,PIP
504,18,60,9,23,2,Not malfunction,parameters are working correctly
601,15,54,10,26,3,Not malfunction,parameters are working correctly
907,15,57,5,21,9,Malfunction,Tidal_Volume
495,13,29,5,25,6,Malfunction,FiO2
663,13,40,7,20,1,Not malfunction,parameters are working correctly
696,18,50,7,25,2,Not malfunction,parameters are working correctly
437,12,55,6,21,2,Not malfunction,parameters are working correctly
484,19,54,9,22,4,Not malfunction,parameters are working correctly
446,13,59,5,21,3,Not malfunction,parameters are working correctly
465,13,46,8,24,4,Not malfunction,parameters are working correctly
892,16,48,8,25,7,Malfunction,Tidal_Volume
849,17,40,7,25,8,Malfunction,Tidal_Volume
599,7,55,5,22,9,Malfunction,Respiratory_Rate
535,18,60,5,22,4,Not malfunction,parameters are working correctly
615,14,46,14,20,8,Malfunction,PEEP
448,14,50,9,24,1,Not malfunction,parameters are working correctly
606,16,44,14,24,6,Malfunction,PEEP
572,7,52,7,27,8,Malfunction,Respiratory_Rate
653,19,56,6,26,1,Not malfunction,parameters are working correctly
555,18,59,13,25,9,Malfunction,PEEP
469,11,46,6,36,7,Malfunction,PIP
560,14,30,6,21,9,Malfunction,FiO2
404,14,59,5,29,4,Not malfunction,parameters are working correctly
680,17,28,8,28,7,Malfunction,FiO2
531,16,49,12,24,8,Malfunction,PEEP
507,18,52,10,30,3,Not malfunction,parameters are working correctly
659,18,54,6,21,4,Not malfunction,parameters are working correctly
519,17,47,7,36,9,Malfunction,PIP
841,16,49,5,24,9,Malfunction,Tidal_Volume
697,15,56,8,30,1,Not malfunction,parameters are working correctly
619,19,40,7,29,2,Not malfunction,parameters are working correctly
513,14,50,14,23,6,Malfunction,PEEP
621,18,47,7,20,2,Not malfunction,parameters are working correctly
453,8,45,7,24,10,Malfunction,Respiratory_Rate
459,17,59,8,38,8,Malfunction,PIP
660,17,50,12,25,10,Malfunction,PEEP
493,7,50,6,22,8,Malfunction,Respiratory_Rate
