Magnetic_Field_Strength,Gradient_Strength,RF_Power,Pulse_Sequence,Scan_Duration,Time,label,parameter
2,13,97,2,58,4,Not malfunction,parameters are working correctly
2,38,140,2,29,9,Malfunction,Gradient_Strength
5,15,170,3,44,9,Malfunction,Magnetic_Field_Strength
3,28,117,3,58,3,Not malfunction,parameters are working correctly
1,37,145,3,18,9,Malfunction,Gradient_Strength
3,24,129,1,58,5,Not malfunction,parameters are working correctly
1,22,183,5,22,3,Not malfunction,parameters are working correctly
2,27,131,2,15,1,Not malfunction,parameters are working correctly
1,13,127,3,29,5,Not malfunction,parameters are working correctly
1,21,64,4,49,1,Not malfunction,parameters are working correctly
1,18,213,2,40,8,Malfunction,RF_Power
2,24,227,3,36,10,Malfunction,RF_Power
1,17,174,2,58,1,Not malfunction,parameters are working correctly
2,12,235,2,48,10,Malfunction,RF_Power
5,22,145,3,24,7,Malfunction,Magnetic_Field_Strength
3,11,196,1,46,2,Not malfunction,parameters are working correctly
1,25,138,2,74,7,Malfunction,Scan_Duration
4,17,123,1,54,8,Malfunction,Magnetic_Field_Strength
2,39,88,2,40,6,Malfunction,Gradient_Strength
1,14,85,2,29,4,Not malfunction,parameters are working correctly
6,25,212,2,35,10,Malfunction,Magnetic_Field_Strength
3,29,95,2,19,5,Not malfunction,parameters are working correctly
2,12,149,3,24,1,Not malfunction,parameters are working correctly
5,13,165,2,58,6,Malfunction,Magnetic_Field_Strength
2,17,110,3,70,10,Malfunction,Scan_Duration
4,27,93,2,45,9,Malfunction,Magnetic_Field_Strength
2,24,182,3,60,5,Not malfunction,parameters are working correctly
5,18,107,2,44,7,Malfunction,Magnetic_Field_Strength
1,20,173,3,73,6,Malfunction,Scan_Duration
2,29,53,1,43,2,Not malfunction,parameters are working correctly
1,25,90,2,77,10,Malfunction,Scan_Duration
1,14,250,2,25,6,Malfunction,RF_Power
1,26,57,6,23,6,Malfunction,Pulse_Sequence
2,38,45,2,40,10,Malfunction,Gradient_Strength
1,12,156,3,57,4,Not malfunction,parameters are working correctly
1,11,160,4,40,4,Not malfunction,parameters are working correctly
1,16,116,2,88,8,Malfunction,Scan_Duration
1,35,106,3,38,9,Malfunction,Gradient_Strength
3,27,173,2,34,2,Not malfunction,parameters are working correctly
3,28,172,5,34,4,Not malfunction,parameters are working correctly
2,17,216,4,41,10,Malfunction,RF_Power
2,24,190,2,44,3,Not malfunction,parameters are working correctly
2,10,158,8,43,7,Malfunction,Pulse_Sequence
2,21,135,5,24,3,Not malfunction,parameters are working correctly
1,37,194,3,20,10,Malfunction,Gradient_Strength
2,23,131,6,32,9,Malfunction,Pulse_Sequence
2,29,194,1,16,1,Not malfunction,parameters are working correctly
4,16,128,2,11,7,Malfunction,Magnetic_Field_Strength
6,11,154,2,21,7,Malfunction,Magnetic_Field_Strength
2,16,196,3,60,4,Not malfunction,parameters are working correctly
2,13,184,7,38,10,Malfunction,Pulse_Sequence
1,20,149,8,40,9,Malfunction,Pulse_Sequence
1,24,180,4,38,4,Not malfunction,parameters are working correctly
2,20,179,8,35,7,Malfunction,Pulse_Sequence
1,14,93,2,51,1,Not malfunction,parameters are working correctly
2,22,106,5,78,9,Malfunction,Scan_Duration
1,27,158,3,82,10,Malfunction,Scan_Duration
6,16,137,1,20,8,Malfunction,Magnetic_Field_Strength
2,22,140,1,77,8,Malfunction,Scan_Duration
1,24,94,8,37,8,Malfunction,Pulse_Sequence
3,30,186,4,48,3,Not malfunction,parameters are working correctly
2,13,102,1,43,5,Not malfunction,parameters are working correctly
3,15,90,2,39,5,Not malfunction,parameters are working correctly
2,11,169,5,17,4,Not malfunction,parameters are working correctly
2,27,99,4,51,5,Not malfunction,parameters are working correctly
2,27,141,2,22,2,Not malfunction,parameters are working correctly
2,21,121,2,75,10,Malfunction,Scan_Duration
3,16,181,4,17,2,Not malfunction,parameters are working correctly
1,19,237,2,49,9,Malfunction,RF_Power
2,16,217,2,61,7,Malfunction,RF_Power
3,24,52,1,25,3,Not malfunction,parameters are working correctly
1,17,59,2,41,1,Not malfunction,parameters are working correctly
2,21,199,1,32,1,Not malfunction,parameters are working correctly
2,24,169,4,15,3,Not malfunction,parameters are working correctly
1,20,117,2,82,7,Malfunction,Scan_Duration
2,22,75,6,29,9,Malfunction,Pulse_Sequence
2,21,133,4,73,6,Malfunction,Scan_Duration
2,21,128,8,52,10,Malfunction,Pulse_Sequence
1,16,114,1,20,5,Not malfunction,parameters are working correctly
1,13,237,3,44,7,Malfunction,RF_Power
1,21,174,4,20,1,Not malfunction,parameters are working correctly
2,21,75,1,59,1,Not malfunction,parameters are working correctly
2,29,130,4,39,4,Not malfunction,parameters are working correctly
2,18,240,1,43,8,Malfunction,RF_Power
2,18,168,7,38,9,Malfunction,Pulse_Sequence
1,39,93,0,44,9,Malfunction,Gradient_Strength
2,14,249,2,42,6,Malfunction,RF_Power
2,16,98,8,24,7,Malfunction,Pulse_Sequence
1,10,110,4,17,5,Not malfunction,parameters are working correctly
1,39,157,2,48,7,Malfunction,Gradient_Strength
3,20,107,1,44,2,Not malfunction,parameters are working correctly
3,23,153,3,18,5,Not malfunction,parameters are working correctly
1,18,230,1,38,6,Malfunction,RF_Power
2,12,190,2,87,6,Malfunction,Scan_Duration
2,11,178,2,47,1,Not malfunction,parameters are working correctly
2,37,161,3,25,9,Malfunction,Gradient_Strength
2,14,82,6,40,6,Malfunction,Pulse_Sequence
2,20,131,4,18,3,Not malfunction,parameters are working correctly
1,24,136,1,75,8,Malfunction,Scan_Duration
1,25,239,3,30,10,Malfunction,RF_Power
1,21,187,1,38,2,Not malfunction,parameters are working correctly
1,22,194,1,53,2,Not malfunction,parameters are working correctly
1,22,151,2,78,9,Malfunction,Scan_Duration
2,18,110,6,51,8,Malfunction,Pulse_Sequence
2,40,158,3,42,10,Malfunction,Gradient_Strength
1,29,199,3,76,9,Malfunction,Scan_Duration
2,25,111,2,90,10,Malfunction,Scan_Duration
3,11,102,5,34,2,Not malfunction,parameters are working correctly
2,18,113,2,87,10,Malfunction,Scan_Duration
1,25,196,3,22,2,Not malfunction,parameters are working correctly
1,24,112,3,25,1,Not malfunction,parameters are working correctly
1,13,214,3,26,7,Malfunction,RF_Power
2,29,77,5,34,3,Not malfunction,parameters are working correctly
3,30,96,2,35,4,Not malfunction,parameters are working correctly
1,15,77,4,88,7,Malfunction,Scan_Duration
2,21,89,3,76,9,Malfunction,Scan_Duration
2,22,187,4,48,3,Not malfunction,parameters are working correctly
2,35,24,4,35,6,Malfunction,Gradient_Strength
2,24,184,3,22,4,Not malfunction,parameters are working correctly
2,24,97,4,54,4,Not malfunction,parameters are working correctly
5,22,78,3,45,6,Malfunction,Magnetic_Field_Strength
1,14,156,4,37,4,Not malfunction,parameters are working correctly
2,10,70,3,48,5,Not malfunction,parameters are working correctly
1,19,85,1,51,2,Not malfunction,parameters are working correctly
3,7,68,3,90,6,Malfunction,Scan_Duration
5,9,49,1,48,10,Malfunction,Magnetic_Field_Strength
1,22,94,4,38,2,Not malfunction,parameters are working correctly
1,21,51,5,54,2,Not malfunction,parameters are working correctly
3,30,97,1,42,2,Not malfunction,parameters are working correctly
2,19,92,5,42,3,Not malfunction,parameters are working correctly
3,11,56,4,41,3,Not malfunction,parameters are working correctly
2,39,133,2,19,9,Malfunction,Gradient_Strength
2,10,111,7,44,9,Malfunction,Pulse_Sequence
1,15,182,3,74,7,Malfunction,Scan_Duration
5,16,157,2,40,9,Malfunction,Magnetic_Field_Strength
1,32,53,6,52,6,Malfunction,Pulse_Sequence
3,24,120,2,31,2,Not malfunction,parameters are working correctly
1,26,111,2,28,5,Not malfunction,parameters are working correctly
2,19,173,3,24,2,Not malfunction,parameters are working correctly
6,24,112,2,14,9,Malfunction,Magnetic_Field_Strength
1,20,140,2,85,10,Malfunction,Scan_Duration
2,15,78,5,51,1,Not malfunction,parameters are working correctly
6,17,130,1,33,10,Malfunction,Magnetic_Field_Strength
1,17,127,3,73,9,Malfunction,Scan_Duration
1,19,180,5,80,10,Malfunction,Scan_Duration
1,1,229,4,25,8,Malfunction,RF_Power
3,23,96,2,44,1,Not malfunction,parameters are working correctly
2,40,160,4,48,8,Malfunction,Gradient_Strength
2,26,174,4,33,4,Not malfunction,parameters are working correctly
1,14,233,2,34,9,Malfunction,RF_Power
1,35,184,2,37,7,Malfunction,Gradient_Strength
3,21,92,3,47,2,Not malfunction,parameters are working correctly
2,15,128,5,74,6,Malfunction,Scan_Duration
2,14,176,2,42,1,Not malfunction,parameters are working correctly
1,20,236,3,35,8,Malfunction,RF_Power
1,13,94,2,29,2,Not malfunction,parameters are working correctly
2,14,98,2,87,7,Malfunction,Scan_Duration
3,15,199,2,42,5,Not malfunction,parameters are working correctly
2,24,250,3,54,8,Malfunction,RF_Power
2,15,191,4,32,2,Not malfunction,parameters are working correctly
2,24,172,3,36,1,Not malfunction,parameters are working correctly
5,20,66,4,28,6,Malfunction,Magnetic_Field_Strength
6,23,196,4,39,7,Malfunction,Magnetic_Field_Strength
1,21,162,5,59,4,Not malfunction,parameters are working correctly
1,22,242,3,34,6,Malfunction,RF_Power
6,19,133,2,49,10,Malfunction,Magnetic_Field_Strength
3,19,120,4,89,10,Malfunction,Scan_Duration
1,16,92,5,59,4,Not malfunction,parameters are working correctly
2,18,118,4,52,3,Not malfunction,parameters are working correctly
1,26,109,4,36,1,Not malfunction,parameters are working correctly
2,15,72,4,87,9,Malfunction,Scan_Duration
5,17,128,3,45,6,Malfunction,Magnetic_Field_Strength
3,24,110,4,31,4,Not malfunction,parameters are working correctly
1,15,106,2,50,4,Not malfunction,parameters are working correctly
2,37,81,2,32,9,Malfunction,Gradient_Strength
4,21,119,3,40,10,Malfunction,Magnetic_Field_Strength
2,15,61,5,35,4,Not malfunction,parameters are working correctly
2,23,186,3,60,5,Not malfunction,parameters are working correctly
6,13,168,4,40,6,Malfunction,Magnetic_Field_Strength
3,21,198,4,54,3,Not malfunction,parameters are working correctly
2,21,130,7,57,6,Malfunction,Pulse_Sequence
1,28,91,2,84,9,Malfunction,Scan_Duration
3,17,186,5,21,2,Not malfunction,parameters are working correctly
3,11,142,4,18,4,Not malfunction,parameters are working correctly
2,15,151,2,51,3,Not malfunction,parameters are working correctly
1,24,89,3,50,2,Not malfunction,parameters are working correctly
1,17,194,3,80,7,Malfunction,Scan_Duration
2,13,134,7,38,7,Malfunction,Pulse_Sequence
3,14,116,2,32,1,Not malfunction,parameters are working correctly
2,16,91,1,18,4,Not malfunction,parameters are working correctly
1,39,137,2,49,7,Malfunction,Gradient_Strength
1,13,241,3,43,8,Malfunction,RF_Power
1,13,179,3,70,8,Malfunction,Scan_Duration
1,23,171,6,41,10,Malfunction,Pulse_Sequence
3,22,119,2,26,2,Not malfunction,parameters are working correctly
2,39,118,3,43,6,Malfunction,Gradient_Strength
2,22,168,3,82,8,Malfunction,Scan_Duration
2,18,76,1,54,3,Not malfunction,parameters are working correctly
1,16,115,3,78,10,Malfunction,Scan_Duration
1,22,118,7,37,9,Malfunction,Pulse_Sequence
1,17,106,3,17,3,Not malfunction,parameters are working correctly
1,40,116,3,37,6,Malfunction,Gradient_Strength
2,10,121,5,24,5,Not malfunction,parameters are working correctly
2,11,144,4,37,1,Not malfunction,parameters are working correctly
2,24,86,4,36,3,Not malfunction,parameters are working correctly
4,21,129,4,39,9,Malfunction,Magnetic_Field_Strength
4,18,143,4,27,9,Malfunction,Magnetic_Field_Strength
3,24,90,2,17,4,Not malfunction,parameters are working correctly
1,37,116,1,38,7,Malfunction,Gradient_Strength
2,21,158,1,30,2,Not malfunction,parameters are working correctly
3,27,142,4,52,3,Not malfunction,parameters are working correctly
2,29,247,1,44,9,Malfunction,RF_Power
1,18,238,4,42,9,Malfunction,RF_Power
2,20,157,8,47,10,Malfunction,Pulse_Sequence
1,37,186,1,48,9,Malfunction,Gradient_Strength
1,23,75,1,43,2,Not malfunction,parameters are working correctly
0,37,94,1,26,6,Malfunction,Gradient_Strength
2,38,81,4,38,7,Malfunction,Gradient_Strength
1,26,188,8,29,6,Malfunction,Pulse_Sequence
4,14,99,1,49,6,Malfunction,Magnetic_Field_Strength
1,20,126,4,78,7,Malfunction,Scan_Duration
2,21,195,2,21,2,Not malfunction,parameters are working correctly
3,29,59,2,37,4,Not malfunction,parameters are working correctly
2,25,245,3,33,10,Malfunction,RF_Power
6,20,87,2,40,6,Malfunction,Magnetic_Field_Strength
1,23,225,2,31,9,Malfunction,RF_Power
2,16,242,2,45,6,Malfunction,RF_Power
1,35,131,3,36,6,Malfunction,Gradient_Strength
2,22,84,3,42,1,Not malfunction,parameters are working correctly
2,16,81,5,34,4,Not malfunction,parameters are working correctly
1,15,87,3,72,9,Malfunction,Scan_Duration
1,37,206,2,34,10,Malfunction,Gradient_Strength
2,26,131,4,47,2,Not malfunction,parameters are working correctly
2,20,242,3,49,6,Malfunction,RF_Power
2,20,91,3,75,6,Malfunction,Scan_Duration
2,24,53,4,23,5,Not malfunction,parameters are working correctly
2,14,139,3,26,2,Not malfunction,parameters are working correctly
3,38,150,2,45,7,Malfunction,Gradient_Strength
1,15,123,5,31,4,Not malfunction,parameters are working correctly
2,13,126,8,60,8,Malfunction,Pulse_Sequence
3,15,62,3,48,3,Not malfunction,parameters are working correctly
3,24,56,1,39,2,Not malfunction,parameters are working correctly
3,16,186,2,21,5,Not malfunction,parameters are working correctly
2,16,150,3,32,5,Not malfunction,parameters are working correctly
1,39,87,2,9,9,Malfunction,Gradient_Strength
3,20,107,4,18,4,Not malfunction,parameters are working correctly
4,18,143,2,57,7,Malfunction,Magnetic_Field_Strength
1,37,90,1,23,7,Malfunction,Gradient_Strength
3,15,65,5,40,1,Not malfunction,parameters are working correctly
2,16,242,0,47,8,Malfunction,RF_Power
3,23,239,2,43,10,Malfunction,RF_Power
4,16,110,3,25,7,Malfunction,Magnetic_Field_Strength
3,25,133,3,23,5,Not malfunction,parameters are working correctly
1,13,239,3,28,8,Malfunction,RF_Power
2,23,92,4,21,5,Not malfunction,parameters are working correctly
3,27,149,4,40,4,Not malfunction,parameters are working correctly
1,36,117,2,27,6,Malfunction,Gradient_Strength
1,14,106,5,30,2,Not malfunction,parameters are working correctly
3,15,51,1,24,3,Not malfunction,parameters are working correctly
2,18,125,2,77,6,Malfunction,Scan_Duration
1,21,140,1,25,2,Not malfunction,parameters are working correctly
6,28,124,3,31,6,Malfunction,Magnetic_Field_Strength
1,30,62,3,21,1,Not malfunction,parameters are working correctly
6,15,106,3,32,9,Malfunction,Magnetic_Field_Strength
2,12,139,2,53,5,Not malfunction,parameters are working correctly
1,39,142,1,51,9,Malfunction,Gradient_Strength
1,12,101,2,59,2,Not malfunction,parameters are working correctly
2,18,248,3,23,7,Malfunction,RF_Power
2,23,54,3,53,3,Not malfunction,parameters are working correctly
2,14,168,1,32,5,Not malfunction,parameters are working correctly
2,22,148,7,61,6,Malfunction,Pulse_Sequence
1,23,196,2,56,1,Not malfunction,parameters are working correctly
4,12,104,3,19,6,Malfunction,Magnetic_Field_Strength
3,20,226,4,29,8,Malfunction,RF_Power
1,20,160,6,28,7,Malfunction,Pulse_Sequence
4,19,100,2,37,9,Malfunction,Magnetic_Field_Strength
1,23,61,3,53,3,Not malfunction,parameters are working correctly
2,13,50,3,32,1,Not malfunction,parameters are working correctly
2,18,195,3,59,4,Not malfunction,parameters are working correctly
2,14,138,5,43,1,Not malfunction,parameters are working correctly
6,26,102,4,45,9,Malfunction,Magnetic_Field_Strength
2,26,77,2,55,2,Not malfunction,parameters are working correctly
1,18,247,3,47,10,Malfunction,RF_Power
5,29,122,2,34,8,Malfunction,Magnetic_Field_Strength
1,12,161,2,38,1,Not malfunction,parameters are working correctly
3,24,60,3,26,2,Not malfunction,parameters are working correctly
2,26,63,5,58,2,Not malfunction,parameters are working correctly
3,19,147,3,34,3,Not malfunction,parameters are working correctly
3,15,182,1,34,1,Not malfunction,parameters are working correctly
2,25,149,2,55,1,Not malfunction,parameters are working correctly
2,16,81,6,26,6,Malfunction,Pulse_Sequence
2,12,91,2,21,3,Not malfunction,parameters are working correctly
3,12,82,1,46,3,Not malfunction,parameters are working correctly
2,24,141,5,38,4,Not malfunction,parameters are working correctly
1,18,124,4,17,3,Not malfunction,parameters are working correctly
1,17,149,8,43,7,Malfunction,Pulse_Sequence
1,19,193,2,23,2,Not malfunction,parameters are working correctly
3,21,131,3,27,1,Not malfunction,parameters are working correctly
4,21,122,2,42,6,Malfunction,Magnetic_Field_Strength
2,14,105,7,43,7,Malfunction,Pulse_Sequence
2,37,187,3,45,8,Malfunction,Gradient_Strength
1,20,136,8,45,8,Malfunction,Pulse_Sequence
2,39,216,2,19,6,Malfunction,Gradient_Strength
1,13,239,3,52,9,Malfunction,RF_Power
1,20,102,3,76,9,Malfunction,Scan_Duration
2,12,221,2,46,10,Malfunction,RF_Power
3,14,165,4,37,1,Not malfunction,parameters are working correctly
1,8,187,2,75,6,Malfunction,Scan_Duration
2,10,200,5,39,5,Not malfunction,parameters are working correctly
6,26,145,3,27,9,Malfunction,Magnetic_Field_Strength
2,22,55,3,51,2,Not malfunction,parameters are working correctly
1,16,144,1,35,4,Not malfunction,parameters are working correctly
4,20,183,1,37,7,Malfunction,Magnetic_Field_Strength
1,28,74,4,30,2,Not malfunction,parameters are working correctly
1,21,74,4,18,4,Not malfunction,parameters are working correctly
3,25,70,1,44,5,Not malfunction,parameters are working correctly
1,21,99,5,53,4,Not malfunction,parameters are working correctly
2,21,221,1,34,9,Malfunction,RF_Power
1,26,57,3,57,5,Not malfunction,parameters are working correctly
5,21,173,2,44,6,Malfunction,Magnetic_Field_Strength
2,21,122,4,23,4,Not malfunction,parameters are working correctly
1,25,51,5,38,3,Not malfunction,parameters are working correctly
4,16,121,3,45,6,Malfunction,Magnetic_Field_Strength
0,10,118,6,32,6,Malfunction,Pulse_Sequence
2,17,88,3,86,8,Malfunction,Scan_Duration
2,31,79,1,88,6,Malfunction,Scan_Duration
1,23,170,8,48,10,Malfunction,Pulse_Sequence
3,22,67,3,39,1,Not malfunction,parameters are working correctly
3,11,163,2,20,5,Not malfunction,parameters are working correctly
1,35,125,3,42,10,Malfunction,Gradient_Strength
1,19,68,4,56,5,Not malfunction,parameters are working correctly
2,22,112,3,21,2,Not malfunction,parameters are working correctly
3,12,108,2,45,3,Not malfunction,parameters are working correctly
1,21,123,5,51,5,Not malfunction,parameters are working correctly
2,18,144,1,78,10,Malfunction,Scan_Duration
4,22,98,1,30,7,Malfunction,Magnetic_Field_Strength
1,27,232,3,24,6,Malfunction,RF_Power
6,18,149,2,40,10,Malfunction,Magnetic_Field_Strength
2,18,118,1,71,7,Malfunction,Scan_Duration
2,19,128,2,88,9,Malfunction,Scan_Duration
6,23,137,2,33,10,Malfunction,Magnetic_Field_Strength
2,12,162,8,23,10,Malfunction,Pulse_Sequence
2,38,164,2,16,9,Malfunction,Gradient_Strength
2,24,97,2,21,5,Not malfunction,parameters are working correctly
3,20,124,1,58,3,Not malfunction,parameters are working correctly
1,17,233,2,37,10,Malfunction,RF_Power
1,40,173,3,49,6,Malfunction,Gradient_Strength
3,14,121,5,24,4,Not malfunction,parameters are working correctly
3,22,73,2,33,1,Not malfunction,parameters are working correctly
1,16,171,3,46,2,Not malfunction,parameters are working correctly
2,13,178,5,27,1,Not malfunction,parameters are working correctly
2,18,139,4,50,2,Not malfunction,parameters are working correctly
2,19,77,3,54,1,Not malfunction,parameters are working correctly
1,26,148,1,27,5,Not malfunction,parameters are working correctly
2,16,137,7,44,7,Malfunction,Pulse_Sequence
1,18,52,1,59,2,Not malfunction,parameters are working correctly
3,21,193,1,50,3,Not malfunction,parameters are working correctly
1,22,233,2,15,10,Malfunction,RF_Power
1,38,91,1,13,7,Malfunction,Gradient_Strength
1,27,176,4,81,10,Malfunction,Scan_Duration
2,10,68,1,38,2,Not malfunction,parameters are working correctly
1,22,108,2,16,3,Not malfunction,parameters are working correctly
2,14,248,2,31,6,Malfunction,RF_Power
0,40,90,3,32,6,Malfunction,Gradient_Strength
1,24,117,7,18,9,Malfunction,Pulse_Sequence
1,19,136,5,25,1,Not malfunction,parameters are working correctly
2,36,207,3,47,6,Malfunction,Gradient_Strength
2,18,180,3,54,1,Not malfunction,parameters are working correctly
2,15,186,4,49,2,Not malfunction,parameters are working correctly
3,19,171,1,58,2,Not malfunction,parameters are working correctly
2,20,125,6,43,6,Malfunction,Pulse_Sequence
3,22,135,4,85,8,Malfunction,Scan_Duration
3,17,240,2,24,10,Malfunction,RF_Power
1,22,227,0,42,9,Malfunction,RF_Power
3,21,200,1,58,5,Not malfunction,parameters are working correctly
3,24,124,5,56,4,Not malfunction,parameters are working correctly
1,18,113,7,45,7,Malfunction,Pulse_Sequence
2,20,154,6,31,9,Malfunction,Pulse_Sequence
2,22,178,8,53,7,Malfunction,Pulse_Sequence
5,16,148,3,42,10,Malfunction,Magnetic_Field_Strength
2,15,237,3,46,9,Malfunction,RF_Power
2,36,146,2,30,7,Malfunction,Gradient_Strength
1,8,230,3,28,7,Malfunction,RF_Power
1,8,241,1,31,7,Malfunction,RF_Power
2,37,174,2,16,10,Malfunction,Gradient_Strength
2,20,105,7,25,6,Malfunction,Pulse_Sequence
3,29,137,3,16,5,Not malfunction,parameters are working correctly
1,17,147,2,57,1,Not malfunction,parameters are working correctly
1,21,132,3,70,10,Malfunction,Scan_Duration
2,38,137,3,46,8,Malfunction,Gradient_Strength
1,14,64,4,36,1,Not malfunction,parameters are working correctly
2,20,140,1,41,4,Not malfunction,parameters are working correctly
1,21,116,2,25,5,Not malfunction,parameters are working correctly
1,14,52,1,15,3,Not malfunction,parameters are working correctly
3,19,57,1,54,4,Not malfunction,parameters are working correctly
2,15,216,2,20,9,Malfunction,RF_Power
2,39,136,1,44,8,Malfunction,Gradient_Strength
2,15,163,4,87,9,Malfunction,Scan_Duration
2,18,176,4,51,5,Not malfunction,parameters are working correctly
4,20,149,4,40,9,Malfunction,Magnetic_Field_Strength
5,13,95,2,54,8,Malfunction,Magnetic_Field_Strength
1,22,159,3,73,6,Malfunction,Scan_Duration
5,24,130,3,48,9,Malfunction,Magnetic_Field_Strength
1,22,92,2,28,2,Not malfunction,parameters are working correctly
1,14,78,7,41,9,Malfunction,Pulse_Sequence
3,18,177,5,22,5,Not malfunction,parameters are working correctly
2,21,232,4,24,8,Malfunction,RF_Power
2,40,132,2,41,10,Malfunction,Gradient_Strength
3,12,193,5,44,3,Not malfunction,parameters are working correctly
1,14,50,4,23,3,Not malfunction,parameters are working correctly
3,10,193,1,33,5,Not malfunction,parameters are working correctly
3,18,185,5,59,5,Not malfunction,parameters are working correctly
1,19,221,7,34,8,Malfunction,Pulse_Sequence
2,36,106,2,39,7,Malfunction,Gradient_Strength
1,32,230,2,33,10,Malfunction,RF_Power
5,18,186,2,8,9,Malfunction,Magnetic_Field_Strength
2,24,59,6,37,9,Malfunction,Pulse_Sequence
2,22,155,6,21,8,Malfunction,Pulse_Sequence
1,29,133,4,53,2,Not malfunction,parameters are working correctly
2,21,128,5,30,4,Not malfunction,parameters are working correctly
1,15,72,7,44,7,Malfunction,Pulse_Sequence
2,22,133,4,70,9,Malfunction,Scan_Duration
1,10,226,3,32,9,Malfunction,RF_Power
1,19,136,6,43,10,Malfunction,Pulse_Sequence
4,21,130,3,51,8,Malfunction,Magnetic_Field_Strength
2,17,67,2,78,10,Malfunction,Scan_Duration
3,19,155,3,49,3,Not malfunction,parameters are working correctly
4,17,144,4,43,10,Malfunction,Magnetic_Field_Strength
1,25,73,2,47,3,Not malfunction,parameters are working correctly
1,15,40,4,76,6,Malfunction,Scan_Duration
2,18,71,4,33,2,Not malfunction,parameters are working correctly
1,21,136,6,37,10,Malfunction,Pulse_Sequence
3,28,138,3,55,3,Not malfunction,parameters are working correctly
2,31,97,3,78,7,Malfunction,Scan_Duration
2,24,121,2,42,5,Not malfunction,parameters are working correctly
2,18,91,3,90,9,Malfunction,Scan_Duration
3,17,172,2,26,4,Not malfunction,parameters are working correctly
3,21,65,3,38,5,Not malfunction,parameters are working correctly
3,24,123,1,20,2,Not malfunction,parameters are working correctly
3,15,52,1,52,5,Not malfunction,parameters are working correctly
2,17,79,5,28,4,Not malfunction,parameters are working correctly
1,30,134,1,35,3,Not malfunction,parameters are working correctly
2,11,198,2,48,5,Not malfunction,parameters are working correctly
3,11,88,4,25,4,Not malfunction,parameters are working correctly
1,23,159,3,59,4,Not malfunction,parameters are working correctly
1,13,155,5,43,3,Not malfunction,parameters are working correctly
1,35,185,3,51,7,Malfunction,Gradient_Strength
3,16,176,1,51,5,Not malfunction,parameters are working correctly
2,20,118,1,77,8,Malfunction,Scan_Duration
3,14,197,3,15,3,Not malfunction,parameters are working correctly
3,12,93,2,57,4,Not malfunction,parameters are working correctly
1,18,100,8,77,9,Malfunction,Pulse_Sequence
2,22,127,2,15,2,Not malfunction,parameters are working correctly
1,15,152,4,26,5,Not malfunction,parameters are working correctly
3,22,89,3,87,8,Malfunction,Scan_Duration
1,20,141,6,28,6,Malfunction,Pulse_Sequence
3,19,195,2,22,4,Not malfunction,parameters are working correctly
1,20,221,3,52,8,Malfunction,RF_Power
2,22,79,1,58,4,Not malfunction,parameters are working correctly
5,24,150,3,23,8,Malfunction,Magnetic_Field_Strength
2,22,233,1,42,7,Malfunction,RF_Power
1,16,136,6,37,7,Malfunction,Pulse_Sequence
2,25,229,3,32,6,Malfunction,RF_Power
2,19,119,3,47,5,Not malfunction,parameters are working correctly
