Heart_Rate,Blood_Pressure_Systolic,Blood_Pressure_Diastolic,Oxygen_Saturation,Temperature,Time,label,parameter
56,100,70,97,40,7,Malfunction,Temperature
75,149,72,98,36,8,Malfunction,Blood_Pressure_Systolic
69,117,72,95,37,2,Not malfunction,parameters are working correctly
81,96,65,98,37,3,Not malfunction,parameters are working correctly
75,118,68,97,36,4,Not malfunction,parameters are working correctly
76,105,71,88,36,6,Malfunction,Oxygen_Saturation
113,112,66,95,36,6,Malfunction,Heart_Rate
91,132,72,97,36,10,Malfunction,Blood_Pressure_Systolic
80,115,80,96,37,5,Not malfunction,parameters are working correctly
60,103,60,95,36,1,Not malfunction,parameters are working correctly
83,110,62,98,37,4,Not malfunction,parameters are working correctly
66,150,71,97,36,8,Malfunction,Blood_Pressure_Systolic
80,94,72,96,37,1,Not malfunction,parameters are working correctly
84,99,69,95,36,1,Not malfunction,parameters are working correctly
83,105,69,98,36,4,Not malfunction,parameters are working correctly
129,112,75,97,36,9,Malfunction,Heart_Rate
76,100,68,85,36,10,Malfunction,Oxygen_Saturation
60,100,75,98,36,5,Not malfunction,parameters are working correctly
125,93,71,96,36,7,Malfunction,Heart_Rate
99,102,95,96,36,8,Malfunction,Blood_Pressure_Diastolic
111,105,69,95,36,8,Malfunction,Heart_Rate
87,92,74,95,36,4,Not malfunction,parameters are working correctly
63,115,88,96,36,6,Malfunction,Blood_Pressure_Diastolic
76,97,66,97,40,7,Malfunction,Temperature
61,117,65,89,36,10,Malfunction,Oxygen_Saturation
64,105,74,99,36,5,Not malfunction,parameters are working correctly
78,109,94,98,36,9,Malfunction,Blood_Pressure_Diastolic
63,118,61,97,37,4,Not malfunction,parameters are working correctly
88,134,68,95,36,7,Malfunction,Blood_Pressure_Systolic
79,111,75,97,36,4,Not malfunction,parameters are working correctly
125,101,71,98,36,10,Malfunction,Heart_Rate
62,105,64,99,36,2,Not malfunction,parameters are working correctly
73,108,61,100,36,2,Not malfunction,parameters are working correctly
77,132,70,97,36,9,Malfunction,Blood_Pressure_Systolic
78,116,64,98,37,4,Not malfunction,parameters are working correctly
75,111,62,100,37,3,Not malfunction,parameters are working correctly
114,97,69,96,36,8,Malfunction,Heart_Rate
75,104,92,98,36,8,Malfunction,Blood_Pressure_Diastolic
124,100,78,97,36,9,Malfunction,Heart_Rate
68,111,73,97,37,1,Not malfunction,parameters are working correctly
72,99,65,96,38,9,Malfunction,Temperature
126,97,69,98,36,7,Malfunction,Heart_Rate
78,104,79,98,36,1,Not malfunction,parameters are working correctly
85,102,69,99,36,5,Not malfunction,parameters are working correctly
87,95,68,95,36,2,Not malfunction,parameters are working correctly
82,145,72,93,36,10,Malfunction,Blood_Pressure_Systolic
83,140,71,96,36,7,Malfunction,Blood_Pressure_Systolic
82,108,81,99,38,6,Malfunction,Temperature
81,105,63,95,37,2,Not malfunction,parameters are working correctly
71,107,74,97,37,5,Not malfunction,parameters are working correctly
92,115,63,99,37,2,Not malfunction,parameters are working correctly
73,93,80,95,36,4,Not malfunction,parameters are working correctly
61,115,72,97,37,3,Not malfunction,parameters are working correctly
87,113,88,98,36,8,Malfunction,Blood_Pressure_Diastolic
79,99,63,96,36,5,Not malfunction,parameters are working correctly
98,117,62,96,37,2,Not malfunction,parameters are working correctly
96,96,60,95,36,5,Not malfunction,parameters are working correctly
73,100,65,96,36,3,Not malfunction,parameters are working correctly
88,97,72,98,37,4,Not malfunction,parameters are working correctly
65,97,60,100,37,4,Not malfunction,parameters are working correctly
76,109,90,99,36,6,Malfunction,Blood_Pressure_Diastolic
70,108,74,95,37,5,Not malfunction,parameters are working correctly
61,111,88,99,36,10,Malfunction,Blood_Pressure_Diastolic
124,113,72,97,36,9,Malfunction,Heart_Rate
119,94,74,99,36,8,Malfunction,Heart_Rate
68,105,67,96,36,5,Not malfunction,parameters are working correctly
64,104,68,95,36,1,Not malfunction,parameters are working correctly
71,100,73,100,36,2,Not malfunction,parameters are working correctly
63,98,61,98,37,5,Not malfunction,parameters are working correctly
68,100,68,97,36,3,Not malfunction,parameters are working correctly
64,117,65,99,37,1,Not malfunction,parameters are working correctly
71,110,63,97,36,2,Not malfunction,parameters are working correctly
69,103,73,98,37,1,Not malfunction,parameters are working correctly
80,102,79,100,37,1,Not malfunction,parameters are working correctly
76,103,69,96,40,8,Malfunction,Temperature
89,97,67,88,36,10,Malfunction,Oxygen_Saturation
62,100,77,98,36,1,Not malfunction,parameters are working correctly
96,102,62,100,36,5,Not malfunction,parameters are working correctly
93,101,80,96,37,1,Not malfunction,parameters are working correctly
67,106,73,97,37,1,Not malfunction,parameters are working correctly
130,94,69,98,36,9,Malfunction,Heart_Rate
88,98,73,100,37,2,Not malfunction,parameters are working correctly
91,101,77,100,37,3,Not malfunction,parameters are working correctly
76,140,72,97,36,8,Malfunction,Blood_Pressure_Systolic
90,106,69,99,38,9,Malfunction,Temperature
122,112,79,97,36,10,Malfunction,Heart_Rate
72,93,64,85,36,7,Malfunction,Oxygen_Saturation
70,108,69,94,39,10,Malfunction,Temperature
75,85,87,96,36,9,Malfunction,Blood_Pressure_Diastolic
77,91,65,99,36,2,Not malfunction,parameters are working correctly
86,108,75,98,40,6,Malfunction,Temperature
80,119,68,96,37,5,Not malfunction,parameters are working correctly
63,95,67,100,36,1,Not malfunction,parameters are working correctly
99,92,87,96,36,9,Malfunction,Blood_Pressure_Diastolic
130,102,70,98,36,6,Malfunction,Heart_Rate
83,139,63,97,36,10,Malfunction,Blood_Pressure_Systolic
76,91,67,96,36,5,Not malfunction,parameters are working correctly
73,114,65,95,37,2,Not malfunction,parameters are working correctly
96,96,95,95,36,6,Malfunction,Blood_Pressure_Diastolic
59,108,90,97,36,10,Malfunction,Blood_Pressure_Diastolic
75,111,68,96,37,5,Not malfunction,parameters are working correctly
82,139,65,96,36,9,Malfunction,Blood_Pressure_Systolic
91,123,71,100,40,7,Malfunction,Temperature
86,117,76,97,37,5,Not malfunction,parameters are working correctly
83,142,77,96,36,7,Malfunction,Blood_Pressure_Systolic
130,105,68,96,36,10,Malfunction,Heart_Rate
85,90,80,97,37,4,Not malfunction,parameters are working correctly
73,95,73,85,36,8,Malfunction,Oxygen_Saturation
73,106,91,96,36,10,Malfunction,Blood_Pressure_Diastolic
125,108,72,98,36,7,Malfunction,Heart_Rate
70,118,70,96,36,2,Not malfunction,parameters are working correctly
81,109,74,85,36,8,Malfunction,Oxygen_Saturation
129,90,71,96,36,6,Malfunction,Heart_Rate
85,117,63,100,37,5,Not malfunction,parameters are working correctly
80,109,91,96,36,10,Malfunction,Blood_Pressure_Diastolic
83,118,64,96,36,3,Not malfunction,parameters are working correctly
73,101,94,98,36,6,Malfunction,Blood_Pressure_Diastolic
68,116,75,87,36,9,Malfunction,Oxygen_Saturation
67,114,60,98,37,4,Not malfunction,parameters are working correctly
67,140,66,97,36,7,Malfunction,Blood_Pressure_Systolic
64,114,75,97,37,2,Not malfunction,parameters are working correctly
77,99,68,88,36,9,Malfunction,Oxygen_Saturation
83,104,80,88,36,9,Malfunction,Oxygen_Saturation
69,97,64,100,36,1,Not malfunction,parameters are working correctly
81,105,69,97,39,9,Malfunction,Temperature
70,132,72,97,36,10,Malfunction,Blood_Pressure_Systolic
62,110,71,100,37,2,Not malfunction,parameters are working correctly
74,92,62,99,37,5,Not malfunction,parameters are working correctly
78,138,68,97,36,10,Malfunction,Blood_Pressure_Systolic
84,99,74,89,36,7,Malfunction,Oxygen_Saturation
129,112,70,97,36,10,Malfunction,Heart_Rate
78,107,85,97,36,10,Malfunction,Blood_Pressure_Diastolic
94,99,92,96,36,7,Malfunction,Blood_Pressure_Diastolic
114,115,69,96,36,6,Malfunction,Heart_Rate
68,105,70,97,37,2,Not malfunction,parameters are working correctly
100,99,80,95,37,3,Not malfunction,parameters are working correctly
82,101,80,100,37,1,Not malfunction,parameters are working correctly
113,117,63,95,36,10,Malfunction,Heart_Rate
65,106,93,98,36,6,Malfunction,Blood_Pressure_Diastolic
89,97,74,97,37,1,Not malfunction,parameters are working correctly
90,108,75,98,37,2,Not malfunction,parameters are working correctly
76,120,66,99,37,2,Not malfunction,parameters are working correctly
77,118,68,95,37,2,Not malfunction,parameters are working correctly
90,104,66,100,37,3,Not malfunction,parameters are working correctly
71,104,71,95,36,2,Not malfunction,parameters are working correctly
91,112,65,86,36,9,Malfunction,Oxygen_Saturation
70,102,92,97,36,7,Malfunction,Blood_Pressure_Diastolic
88,111,65,87,36,10,Malfunction,Oxygen_Saturation
63,112,77,97,37,4,Not malfunction,parameters are working correctly
87,105,61,96,40,9,Malfunction,Temperature
89,111,65,100,37,1,Not malfunction,parameters are working correctly
78,92,70,98,37,5,Not malfunction,parameters are working correctly
75,100,72,90,36,10,Malfunction,Oxygen_Saturation
60,116,80,97,37,3,Not malfunction,parameters are working correctly
92,103,85,97,36,10,Malfunction,Blood_Pressure_Diastolic
75,110,70,87,36,10,Malfunction,Oxygen_Saturation
119,109,73,94,35,6,Malfunction,Heart_Rate
84,135,66,95,36,6,Malfunction,Blood_Pressure_Systolic
90,100,95,98,35,7,Malfunction,Blood_Pressure_Diastolic
77,146,67,95,36,9,Malfunction,Blood_Pressure_Systolic
63,99,73,96,37,2,Not malfunction,parameters are working correctly
123,107,68,97,36,10,Malfunction,Heart_Rate
81,92,70,99,37,4,Not malfunction,parameters are working correctly
94,96,80,97,37,1,Not malfunction,parameters are working correctly
78,111,60,99,36,3,Not malfunction,parameters are working correctly
91,91,77,100,37,5,Not malfunction,parameters are working correctly
120,107,58,96,36,8,Malfunction,Heart_Rate
100,93,75,95,36,4,Not malfunction,parameters are working correctly
90,98,66,96,37,3,Not malfunction,parameters are working correctly
62,98,77,99,37,5,Not malfunction,parameters are working correctly
83,106,61,98,36,3,Not malfunction,parameters are working correctly
68,119,61,100,37,2,Not malfunction,parameters are working correctly
85,92,70,98,36,5,Not malfunction,parameters are working correctly
98,90,74,97,36,2,Not malfunction,parameters are working correctly
60,120,74,100,36,4,Not malfunction,parameters are working correctly
79,110,80,97,40,9,Malfunction,Temperature
89,94,69,99,37,5,Not malfunction,parameters are working correctly
99,118,76,100,37,4,Not malfunction,parameters are working correctly
61,94,68,98,37,2,Not malfunction,parameters are working correctly
77,105,67,98,37,5,Not malfunction,parameters are working correctly
70,112,77,100,36,3,Not malfunction,parameters are working correctly
124,114,71,97,36,9,Malfunction,Heart_Rate
88,119,66,99,37,2,Not malfunction,parameters are working correctly
92,94,73,95,37,4,Not malfunction,parameters are working correctly
61,100,79,96,39,7,Malfunction,Temperature
84,110,74,99,37,1,Not malfunction,parameters are working correctly
90,99,73,97,37,5,Not malfunction,parameters are working correctly
76,109,81,96,38,7,Malfunction,Temperature
89,102,75,97,36,1,Not malfunction,parameters are working correctly
84,102,85,98,36,6,Malfunction,Blood_Pressure_Diastolic
86,107,62,99,36,4,Not malfunction,parameters are working correctly
73,96,72,99,36,5,Not malfunction,parameters are working correctly
79,118,71,96,37,4,Not malfunction,parameters are working correctly
91,118,67,100,37,1,Not malfunction,parameters are working correctly
100,97,78,100,37,2,Not malfunction,parameters are working correctly
99,108,70,97,39,7,Malfunction,Temperature
93,91,75,99,37,2,Not malfunction,parameters are working correctly
71,126,95,97,36,6,Malfunction,Blood_Pressure_Diastolic
84,150,68,100,36,7,Malfunction,Blood_Pressure_Systolic
92,90,67,97,37,2,Not malfunction,parameters are working correctly
91,117,60,97,37,5,Not malfunction,parameters are working correctly
75,146,66,99,36,8,Malfunction,Blood_Pressure_Systolic
85,106,67,97,37,1,Not malfunction,parameters are working correctly
86,110,66,85,36,8,Malfunction,Oxygen_Saturation
100,118,66,97,37,4,Not malfunction,parameters are working correctly
76,147,73,97,36,6,Malfunction,Blood_Pressure_Systolic
78,101,72,96,37,2,Not malfunction,parameters are working correctly
78,112,64,99,36,3,Not malfunction,parameters are working correctly
89,114,70,99,37,3,Not malfunction,parameters are working correctly
125,101,66,98,36,7,Malfunction,Heart_Rate
62,91,64,98,37,4,Not malfunction,parameters are working correctly
124,111,66,95,36,7,Malfunction,Heart_Rate
84,105,94,97,36,10,Malfunction,Blood_Pressure_Diastolic
77,147,67,96,36,9,Malfunction,Blood_Pressure_Systolic
70,91,79,98,37,5,Not malfunction,parameters are working correctly
128,104,71,96,36,10,Malfunction,Heart_Rate
84,103,76,97,37,1,Not malfunction,parameters are working correctly
75,100,73,98,40,6,Malfunction,Temperature
86,112,71,88,36,6,Malfunction,Oxygen_Saturation
57,98,62,85,36,7,Malfunction,Oxygen_Saturation
83,143,76,96,36,6,Malfunction,Blood_Pressure_Systolic
87,142,68,96,36,6,Malfunction,Blood_Pressure_Systolic
74,148,75,97,36,9,Malfunction,Blood_Pressure_Systolic
71,105,78,96,36,1,Not malfunction,parameters are working correctly
79,98,63,97,36,2,Not malfunction,parameters are working correctly
61,117,75,96,36,5,Not malfunction,parameters are working correctly
61,119,74,96,37,2,Not malfunction,parameters are working correctly
76,101,69,97,36,5,Not malfunction,parameters are working correctly
88,119,69,85,36,8,Malfunction,Oxygen_Saturation
64,101,78,95,36,4,Not malfunction,parameters are working correctly
84,92,63,100,36,2,Not malfunction,parameters are working correctly
65,105,67,95,37,3,Not malfunction,parameters are working correctly
83,103,62,97,36,5,Not malfunction,parameters are working correctly
87,94,69,96,36,3,Not malfunction,parameters are working correctly
74,117,76,97,36,3,Not malfunction,parameters are working correctly
81,135,72,99,35,8,Malfunction,Blood_Pressure_Systolic
83,92,74,98,37,2,Not malfunction,parameters are working correctly
75,118,62,98,37,5,Not malfunction,parameters are working correctly
76,92,62,96,37,3,Not malfunction,parameters are working correctly
65,144,68,95,36,10,Malfunction,Blood_Pressure_Systolic
80,118,66,98,36,5,Not malfunction,parameters are working correctly
71,104,66,96,39,6,Malfunction,Temperature
103,141,67,97,35,9,Malfunction,Blood_Pressure_Systolic
125,103,71,97,36,7,Malfunction,Heart_Rate
61,98,66,95,36,4,Not malfunction,parameters are working correctly
67,99,71,98,37,5,Not malfunction,parameters are working correctly
93,110,91,98,36,10,Malfunction,Blood_Pressure_Diastolic
85,101,86,97,36,8,Malfunction,Blood_Pressure_Diastolic
124,108,67,98,36,8,Malfunction,Heart_Rate
111,95,70,97,36,6,Malfunction,Heart_Rate
64,102,68,95,37,1,Not malfunction,parameters are working correctly
81,95,60,100,36,5,Not malfunction,parameters are working correctly
91,112,61,89,36,9,Malfunction,Oxygen_Saturation
74,108,64,95,36,3,Not malfunction,parameters are working correctly
127,101,65,96,36,9,Malfunction,Heart_Rate
71,107,87,95,36,6,Malfunction,Blood_Pressure_Diastolic
75,102,68,97,36,4,Not malfunction,parameters are working correctly
70,136,72,97,36,8,Malfunction,Blood_Pressure_Systolic
125,107,68,96,36,7,Malfunction,Heart_Rate
78,98,88,95,35,9,Malfunction,Blood_Pressure_Diastolic
76,100,65,90,36,7,Malfunction,Oxygen_Saturation
68,106,76,96,37,1,Not malfunction,parameters are working correctly
92,112,68,96,38,10,Malfunction,Temperature
129,104,70,97,36,9,Malfunction,Heart_Rate
76,100,72,87,36,7,Malfunction,Oxygen_Saturation
75,105,66,97,36,5,Not malfunction,parameters are working correctly
76,96,69,100,40,6,Malfunction,Temperature
78,103,67,97,37,4,Not malfunction,parameters are working correctly
93,109,75,99,37,3,Not malfunction,parameters are working correctly
82,106,90,98,36,6,Malfunction,Blood_Pressure_Diastolic
89,103,71,99,37,5,Not malfunction,parameters are working correctly
62,101,64,98,37,3,Not malfunction,parameters are working correctly
82,113,60,95,36,5,Not malfunction,parameters are working correctly
71,147,78,99,36,10,Malfunction,Blood_Pressure_Systolic
78,110,66,97,36,3,Not malfunction,parameters are working correctly
81,110,66,96,37,4,Not malfunction,parameters are working correctly
87,95,68,97,39,9,Malfunction,Temperature
88,136,74,99,35,8,Malfunction,Blood_Pressure_Systolic
69,103,74,88,36,7,Malfunction,Oxygen_Saturation
92,106,66,97,39,7,Malfunction,Temperature
82,94,78,98,36,4,Not malfunction,parameters are working correctly
100,100,70,95,36,4,Not malfunction,parameters are working correctly
72,147,78,94,36,7,Malfunction,Blood_Pressure_Systolic
100,110,69,86,36,8,Malfunction,Oxygen_Saturation
71,117,77,96,36,3,Not malfunction,parameters are working correctly
71,114,68,95,37,4,Not malfunction,parameters are working correctly
89,107,95,98,36,9,Malfunction,Blood_Pressure_Diastolic
89,107,85,95,36,6,Malfunction,Blood_Pressure_Diastolic
73,112,60,89,36,8,Malfunction,Oxygen_Saturation
62,90,65,98,37,5,Not malfunction,parameters are working correctly
95,103,65,97,37,3,Not malfunction,parameters are working correctly
71,110,79,95,37,5,Not malfunction,parameters are working correctly
85,125,71,94,39,8,Malfunction,Temperature
79,100,73,88,36,7,Malfunction,Oxygen_Saturation
124,106,74,98,36,10,Malfunction,Heart_Rate
96,94,69,96,36,5,Not malfunction,parameters are working correctly
77,108,89,95,36,7,Malfunction,Blood_Pressure_Diastolic
115,113,71,98,36,8,Malfunction,Heart_Rate
98,106,73,97,36,4,Not malfunction,parameters are working correctly
127,113,68,99,36,7,Malfunction,Heart_Rate
72,104,90,96,36,7,Malfunction,Blood_Pressure_Diastolic
62,96,61,100,36,4,Not malfunction,parameters are working correctly
77,102,66,89,36,9,Malfunction,Oxygen_Saturation
74,108,72,88,36,8,Malfunction,Oxygen_Saturation
113,102,68,98,36,6,Malfunction,Heart_Rate
71,93,69,87,35,6,Malfunction,Oxygen_Saturation
93,98,66,99,37,1,Not malfunction,parameters are working correctly
71,101,74,96,40,10,Malfunction,Temperature
97,99,64,97,36,3,Not malfunction,parameters are working correctly
78,90,80,100,37,3,Not malfunction,parameters are working correctly
100,107,73,99,36,4,Not malfunction,parameters are working correctly
67,106,91,95,36,8,Malfunction,Blood_Pressure_Diastolic
76,99,78,96,37,1,Not malfunction,parameters are working correctly
88,120,75,95,37,1,Not malfunction,parameters are working correctly
77,143,65,98,36,6,Malfunction,Blood_Pressure_Systolic
74,115,61,96,38,10,Malfunction,Temperature
75,137,68,98,36,10,Malfunction,Blood_Pressure_Systolic
95,102,88,94,36,10,Malfunction,Blood_Pressure_Diastolic
87,90,71,88,36,6,Malfunction,Oxygen_Saturation
80,92,62,100,37,5,Not malfunction,parameters are working correctly
99,95,80,96,37,1,Not malfunction,parameters are working correctly
70,110,72,97,39,10,Malfunction,Temperature
93,106,71,97,37,2,Not malfunction,parameters are working correctly
97,118,61,98,36,1,Not malfunction,parameters are working correctly
110,116,76,96,36,9,Malfunction,Heart_Rate
88,109,91,97,36,9,Malfunction,Blood_Pressure_Diastolic
81,117,70,98,40,8,Malfunction,Temperature
117,103,63,96,36,10,Malfunction,Heart_Rate
76,93,61,100,37,4,Not malfunction,parameters are working correctly
69,98,64,96,37,4,Not malfunction,parameters are working correctly
95,147,64,97,36,7,Malfunction,Blood_Pressure_Systolic
83,114,61,98,37,3,Not malfunction,parameters are working correctly
127,107,73,97,36,7,Malfunction,Heart_Rate
86,109,71,97,39,6,Malfunction,Temperature
84,100,93,98,36,9,Malfunction,Blood_Pressure_Diastolic
76,91,64,100,36,5,Not malfunction,parameters are working correctly
67,109,80,97,37,3,Not malfunction,parameters are working correctly
98,103,78,95,37,2,Not malfunction,parameters are working correctly
111,106,73,95,36,10,Malfunction,Heart_Rate
86,100,64,95,37,3,Not malfunction,parameters are working correctly
82,106,60,99,37,3,Not malfunction,parameters are working correctly
74,107,76,95,37,4,Not malfunction,parameters are working correctly
68,109,70,96,37,5,Not malfunction,parameters are working correctly
126,100,62,97,36,7,Malfunction,Heart_Rate
70,92,63,100,37,5,Not malfunction,parameters are working correctly
83,113,90,96,36,8,Malfunction,Blood_Pressure_Diastolic
81,93,60,99,37,4,Not malfunction,parameters are working correctly
68,149,76,97,36,7,Malfunction,Blood_Pressure_Systolic
72,108,78,98,39,10,Malfunction,Temperature
64,101,70,89,36,6,Malfunction,Oxygen_Saturation
71,101,75,95,37,4,Not malfunction,parameters are working correctly
101,104,72,98,40,9,Malfunction,Temperature
94,101,68,95,37,1,Not malfunction,parameters are working correctly
81,109,80,96,37,2,Not malfunction,parameters are working correctly
68,102,77,100,37,1,Not malfunction,parameters are working correctly
75,149,65,97,36,9,Malfunction,Blood_Pressure_Systolic
99,101,75,97,37,1,Not malfunction,parameters are working correctly
100,95,67,98,37,1,Not malfunction,parameters are working correctly
81,98,65,99,39,10,Malfunction,Temperature
98,110,67,87,36,9,Malfunction,Oxygen_Saturation
96,114,62,99,37,4,Not malfunction,parameters are working correctly
64,95,75,97,36,3,Not malfunction,parameters are working correctly
85,95,60,95,36,3,Not malfunction,parameters are working correctly
78,99,62,96,36,2,Not malfunction,parameters are working correctly
77,107,76,99,40,9,Malfunction,Temperature
61,105,62,95,36,2,Not malfunction,parameters are working correctly
93,108,70,95,37,2,Not malfunction,parameters are working correctly
88,111,94,99,36,9,Malfunction,Blood_Pressure_Diastolic
91,97,88,95,36,8,Malfunction,Blood_Pressure_Diastolic
100,131,68,97,36,9,Malfunction,Blood_Pressure_Systolic
68,119,74,95,37,3,Not malfunction,parameters are working correctly
66,103,64,98,40,9,Malfunction,Temperature
81,105,78,98,36,4,Not malfunction,parameters are working correctly
86,102,68,97,36,3,Not malfunction,parameters are working correctly
72,119,79,98,37,2,Not malfunction,parameters are working correctly
92,118,63,99,36,5,Not malfunction,parameters are working correctly
70,94,94,98,36,10,Malfunction,Blood_Pressure_Diastolic
65,90,66,100,37,1,Not malfunction,parameters are working correctly
116,110,81,98,36,9,Malfunction,Heart_Rate
101,113,66,98,38,8,Malfunction,Temperature
66,97,72,99,36,4,Not malfunction,parameters are working correctly
95,112,63,88,36,10,Malfunction,Oxygen_Saturation
126,107,69,95,36,9,Malfunction,Heart_Rate
60,111,62,97,36,5,Not malfunction,parameters are working correctly
61,93,72,96,36,2,Not malfunction,parameters are working correctly
60,120,63,99,36,1,Not malfunction,parameters are working correctly
80,100,71,86,36,6,Malfunction,Oxygen_Saturation
111,103,64,96,36,8,Malfunction,Heart_Rate
86,93,73,100,39,9,Malfunction,Temperature
62,105,72,100,36,3,Not malfunction,parameters are working correctly
74,97,65,100,36,2,Not malfunction,parameters are working correctly
120,100,71,99,36,10,Malfunction,Heart_Rate
62,106,67,95,36,4,Not malfunction,parameters are working correctly
76,99,89,97,36,9,Malfunction,Blood_Pressure_Diastolic
74,99,76,89,36,8,Malfunction,Oxygen_Saturation
87,105,60,90,37,10,Malfunction,Oxygen_Saturation
75,147,63,99,35,9,Malfunction,Blood_Pressure_Systolic
98,95,77,98,37,4,Not malfunction,parameters are working correctly
89,105,65,97,40,8,Malfunction,Temperature
120,110,78,97,36,6,Malfunction,Heart_Rate
76,113,90,97,36,7,Malfunction,Blood_Pressure_Diastolic
83,150,71,98,36,7,Malfunction,Blood_Pressure_Systolic
97,99,70,95,39,6,Malfunction,Temperature
70,93,85,98,35,7,Malfunction,Blood_Pressure_Diastolic
92,108,70,95,39,7,Malfunction,Temperature
80,106,64,99,37,1,Not malfunction,parameters are working correctly
88,103,70,96,38,6,Malfunction,Temperature
96,103,76,96,36,2,Not malfunction,parameters are working correctly
88,102,73,97,36,2,Not malfunction,parameters are working correctly
65,95,79,98,36,3,Not malfunction,parameters are working correctly
70,136,71,96,36,10,Malfunction,Blood_Pressure_Systolic
67,112,89,97,36,6,Malfunction,Blood_Pressure_Diastolic
89,112,75,99,36,3,Not malfunction,parameters are working correctly
121,99,71,99,36,7,Malfunction,Heart_Rate
80,115,65,87,36,8,Malfunction,Oxygen_Saturation
91,114,63,97,36,1,Not malfunction,parameters are working correctly
102,106,70,96,38,7,Malfunction,Temperature
92,111,66,97,37,4,Not malfunction,parameters are working correctly
85,106,68,85,36,7,Malfunction,Oxygen_Saturation
81,96,68,97,37,1,Not malfunction,parameters are working correctly
91,135,71,96,36,7,Malfunction,Blood_Pressure_Systolic
75,115,69,89,36,6,Malfunction,Oxygen_Saturation
89,105,60,98,36,5,Not malfunction,parameters are working correctly
91,116,76,88,36,9,Malfunction,Oxygen_Saturation
76,102,92,98,36,6,Malfunction,Blood_Pressure_Diastolic
81,94,86,97,37,8,Malfunction,Blood_Pressure_Diastolic
110,116,74,97,36,8,Malfunction,Heart_Rate
96,112,76,99,37,1,Not malfunction,parameters are working correctly
87,100,74,87,36,10,Malfunction,Oxygen_Saturation
66,113,64,96,40,8,Malfunction,Temperature
90,95,66,95,36,4,Not malfunction,parameters are working correctly
65,113,72,88,35,9,Malfunction,Oxygen_Saturation
65,119,74,96,36,1,Not malfunction,parameters are working correctly
99,92,71,100,36,4,Not malfunction,parameters are working correctly
